Code,Name,Price,Performance,Sector
PNL,PERSONAL ASSETS,32360.00,0.5,Equity Investment Instruments
DJAN,DAEJAN HLDGS,5050.00,0.5,Real Estate Investment & Services
SPX,SPIRAX-SARCO,2907.00,1.64,Industrial Engineering
DCC,DCC,2785.00,-0.29,Support Services
RMV,RIGHTMOVE,2717.00,-2.16,Media
DLN,DERWENT LONDON,2675.00,0.34,Real Estate Investment Trusts
ROR,ROTORK,2674.00,4.21,Industrial Engineering
BKG,BERKELEY GP.HLD,2614.00,0.5,Household Goods & Home Construction
CRDA,CRODA INTL.,2508.00,1.21,Chemicals
ELTA,ELECTRA PRIVATE,2438.00,0.54,Equity Investment Instruments
SXS,SPECTRIS,2340.00,0.09,Electronic Equipment
FDSA,FIDESSA GROUP,2320.00,-0.34,Software & Computer Services
BGEO,BANK OF GEORGIA,2166.00,-0.82,Banks
TED,TED BAKER,2164.00,0.93,Personal Goods
AVV,AVEVA GRP,2097.00,1.85,Software & Computer Services
GOG,GO-AHEAD GROUP,2068.00,2.12,Travel & Leisure
BHMG,BH MACRO GBP,1985.00,-0.3,Equity Investment Instruments
CLDN,CALEDONIA INV.,1945.00,0,Equity Investment Instruments
VCT,VICTREX,1945.00,1.25,Chemicals
ULE,ULTRA ELEC.,1939.00,0.1,Aerospace & Defence
RSW,RENISHAW,1900.00,1.01,Electronic Equipment
KIE,KIER GROUP,1832.00,-0.65,Construction & Materials
TEP,TELECOM PLUS,1811.00,-0.06,Telecommunications
PFG,PROVIDENT FIN.,1734.00,1.46,Financial Services
RAT,RATHBONE BROS,1712.00,1.06,Financial Services
SGP,SUPERGROUP,1620.00,-0.61,Personal Goods
BWY,BELLWAY,1606.00,0.19,Household Goods & Home Construction
MRC,MERCANTILE,1600.00,0.63,Equity Investment Instruments
OXIG,OXFORD INSTRMNT,1543.00,1.05,Electronic Equipment
FEV,FID.EURO.VAL.,1517.00,-0.2,Equity Investment Instruments
DTY,DIGNITY,1500.00,0.74,General Retailers
ATK,ATKINS(WS),1423.00,0.92,Support Services
CBG,CLOSE BR.GRP.,1416.00,0.64,Financial Services
JD.,JD SPORTS,1407.00,-1.95,General Retailers
FSJ,FISHER(J)& SONS,1392.00,0,Industrial Transportation
ERM,EUROMONEY INST.,1337.00,3.89,Media
SYR,SYNERGY HLTH.,1330.00,1.22,Health Care Equipment
HIK,HIKMA,1303.00,4.74,Pharmaceuticals & Biotechnology
CWK,CRANSWICK,1300.00,-0.76,Food Producers
WWH,WORLDWIDE HC,1300.00,-0.23,Equity Investment Instruments
RCP,RIT CAPITAL,1285.00,0.55,Equity Investment Instruments
TMPL,TEMPLE BAR,1248.00,0.32,Equity Investment Instruments
KLR,KELLER GRP.,1227.00,0.25,Construction & Materials
GNS,GENUS,1216.00,-0.25,Pharmaceuticals & Biotechnology
BHGG,BH GLOBAL (GBP),1171.00,0.09,Equity Investment Instruments
JAM,JPMOR.AMER.,1160.00,0.09,Equity Investment Instruments
ASL,ABERFTH.SMLL.CO,1149.00,1.23,Equity Investment Instruments
GFRD,GALLIFORD TRY,1147.00,0.17,Construction & Materials
PAY,PAYPOINT,1130.00,0,Support Services
SMT,SCOTTISH MORT,1089.00,1.02,Equity Investment Instruments
BET,BETFAIR GRP,1073.00,-1.11,Travel & Leisure
XAR,XAAR,1073.00,0.66,Electronic Equipment
SMWH,WH SMITH,1071.00,1.04,General Retailers
JLT,JARDINE LLOYD,1059.00,0.19,Nonlife Insurance
MYI,MURRAY INTL.TST,981.50,0.26,Equity Investment Instruments
BRSN,BERENDSEN,967.00,1.04,Support Services
VED,VEDANTA,925.00,0.98,Mining
RSE,RIVERSTONE,910.00,-2.15,Equity Investment Instruments
DNLM,DUNELM,905.00,-0.98,General Retailers
GNK,GREENE KING,872.50,-0.4,Travel & Leisure
BVS,BOVIS HOMES,864.50,0.52,Household Goods & Home Construction
ESNT,ESSENTRA,859.50,0.94,Support Services
ANH,AL NOOR HOSP.,840.00,0.06,Health Care Equipment
JDW,WETHERSPOON(JD),820.00,-0.06,Travel & Leisure
HTG,HUNTING,808.50,1.13,Oil Equipment & Services
DNO,DOMINO PRINT.,795.00,-1.24,Electronic Equipment
DRX,DRAX,795.00,1.21,Electricity
STJ,ST.JAMES'S PLAC,792.50,0.06,Life Insurance
DLAR,DE LA RUE,778.50,0.45,Support Services
MUT,MURRAY INC.TST.,763.00,0.86,Equity Investment Instruments
MCRO,MICRO FOCUS,758.00,1.34,Software & Computer Services
DPLM,DIPLOMA,747.00,6.71,Support Services
PTEC,PLAYTECH,734.50,0.62,Travel & Leisure
PHNX,PHOENIX GRP(DI),733.00,-0.27,Life Insurance
LRE,LANCASHIRE,730.00,1.11,Nonlife Insurance
HRI,HERALD INV.,729.00,0.55,Equity Investment Instruments
BVIC,BRITVIC,723.50,-1.36,Beverages
PNN,PENNON GROUP,699.00,1.67,Utilities
ISAT,INMARSAT,698.00,0.07,Mobile Telecommunications
BOY,BODYCOTE,694.00,1.98,Industrial Engineering
UBM,UBM,694.00,-0.29,Media
KENZ,KENTZ,688.00,1.78,Oil Equipment & Services
CSR,CSR,682.50,0.37,Technology Hardware & Equipment
DPH,DECHRA PHARM,679.00,-0.44,Pharmaceuticals & Biotechnology
WTAN,WITAN INV TST,676.00,0.6,Equity Investment Instruments
WG.,WOOD GRP(J),671.00,-0.07,Oil Equipment & Services
HSX,HISCOX,666.00,0.3,Nonlife Insurance
POLY,POLYMETAL INT,657.50,3.3,Mining
CCC,COMPUTACENTER,657.00,1.15,Software & Computer Services
TCY,TELECITY,645.00,0.62,Software & Computer Services
SHB,SHAFTESBURY,640.00,-1.08,Real Estate Investment Trusts
GPOR,GR.PORTLAND,631.50,0,Real Estate Investment Trusts
SVS,SAVILLS,630.00,0,Real Estate Investment & Services
RTN,RESTAURANT GP,625.00,0,Travel & Leisure
IGG,IG GROUP,623.00,0.16,Financial Services
BAG,BARR (A.G.),613.00,0.57,Beverages
GFTU,GRAFTON GRP.UTS,610.00,-0.97,Support Services
RPC,RPC GRP.,609.50,0.74,General Industrials
EDIN,EDIN.INV.TST.,604.00,0.25,Equity Investment Instruments
BTG,BTG,603.00,0.33,Pharmaceuticals & Biotechnology
CWD,COUNTRYWIDE,602.50,1.26,Real Estate Investment & Services
INCH,INCHCAPE,601.50,0.5,General Retailers
SCIN,SCOT.INV.TST.,599.00,-0.17,Equity Investment Instruments
MLC,MILLENNIUM &COP,582.50,0.26,Travel & Leisure
HLMA,HALMA,580.00,0.35,Electronic Equipment
OCDO,OCADO,580.00,-0.26,Food & Drug Retailers
BWNG,BROWN(N.) GRP.,574.50,1.5,General Retailers
BNKR,BANKERS INV.TST,572.50,1.15,Equity Investment Instruments
IRV,INTERSERVE,570.00,-0.52,Support Services
NTG,NORTHGATE,570.00,0,Support Services
WKP,WORKSPACE GRP.,553.00,0.55,Real Estate Investment Trusts
CGL,CATLIN GRP,550.50,-2.13,Nonlife Insurance
LWDB,LAW.DEB.CORP,548.50,0.09,Equity Investment Instruments
INF,INFORMA,530.50,0.47,Media
DOM,DOMINO'S PIZZA,521.00,0.19,Travel & Leisure
BYG,BIG YELLOW GRP,517.00,-0.77,Real Estate Investment Trusts
DCG,DAIRY CREST,513.00,0.49,Food Producers
JMG,JPMORGAN EMERG,512.50,1.49,Equity Investment Instruments
BRWM,BLACKROCK WLD,511.00,0.2,Equity Investment Instruments
TEM,TEMPLETON EMRG.,510.50,1.39,Equity Investment Instruments
MRCH,MERCHANTS TST,506.00,1,Equity Investment Instruments
GSS,GENESIS E.M.F.,494.50,1.46,Equity Investment Instruments
IPF,INTER. PERS.,494.00,1.77,Financial Services
PCT,POLAR CAP.,490.00,1.14,Equity Investment Instruments
BTEM,BR.EMPIRE SEC.,479.00,-0.19,Equity Investment Instruments
MPI,MICHAEL PAGE,475.50,1.43,Support Services
NMC,NMC HEALTH,471.00,-0.28,Health Care Equipment
